[2026-03-16T21:54:45-04:00] Starting LightGBM multisplit experiment run.
[2026-03-16T21:54:45-04:00] run_name=benchmark_teacher_guided_atomcolor_electricity_d4_l3_k3_atom0_default_20260316
[2026-03-16T21:54:45-04:00] run_dir=/home/users/yz1075/msdt/results/runs_lightgbm/benchmark_teacher_guided_atomcolor_electricity_d4_l3_k3_atom0_default_20260316
[2026-03-16T21:54:45-04:00] parallel settings: parallel_trials=1, threads_per_trial=3, lgb_threads=3, lgb_ensemble_runs=1, lgb_device=cpu, lgb_max_gpu_jobs=1, core_budget=3, effective_core_budget=3, effective_parallel_trials=1, cpu_target=1.0, cpu_affinity=[], cpu_nice=0
[2026-03-16T21:54:45-04:00] OpenML cache directory set to /home/users/yz1075/msdt/results/openml_cache
[2026-03-16T21:54:45-04:00] Loading dataset=electricity
[2026-03-16T21:54:46-04:00] dataset=electricity, class_prevalence(max class)=0.5755
[2026-03-16T21:54:46-04:00] historical default params: none found (using static defaults)
[2026-03-16T21:54:46-04:00] dataset=electricity, depth=4, lookahead=3, seeds=[0], param_source=static_defaults
[2026-03-16T21:54:46-04:00] [stage] start stage=prepare_eval_data dataset=electricity depth=4 seed=0 eval=test
[2026-03-16T21:54:46-04:00] [stage] done stage=prepare_eval_data elapsed_sec=0.1 dataset=electricity depth=4 seed=0 eval=test
[2026-03-16T21:54:46-04:00] [stage] start stage=lightgbm_binning dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14
[2026-03-16T21:54:46-04:00] lightgbm_binner:start rows=31717 features=14 max_bins=255 ensemble_runs=1 device=cpu
[2026-03-16T21:54:46-04:00] lightgbm_binner:fit_run_start run=1/1 device=cpu
[2026-03-16T21:54:49-04:00] lightgbm_binner:fit_run_done run=1/1 device=cpu best_iteration=504
[2026-03-16T21:54:51-04:00] lightgbm_binner:thresholds_ready mean_bins=112.64 max_bins_used=255
[2026-03-16T21:54:54-04:00] lightgbm_binner:done
[2026-03-16T21:54:54-04:00] [stage] done stage=lightgbm_binning elapsed_sec=8.1 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14
[2026-03-16T21:54:54-04:00] [stage] summary stage=lightgbm_binning binner_features=14 mean_bins=112.64 median_bins=25.00 max_bins_used=255
[2026-03-16T21:54:54-04:00] [stage] start stage=bin_transform dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 binner_features=14 mean_bins=112.64 median_bins=25.00 max_bins_used=255
[2026-03-16T21:54:54-04:00] [stage] done stage=bin_transform elapsed_sec=0.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 binner_features=14 mean_bins=112.64 median_bins=25.00 max_bins_used=255
[2026-03-16T21:54:54-04:00] [stage] summary stage=bin_transform Z_fit_base_shape=(31717, 14) Z_eval_base_shape=(9063, 14)
[2026-03-16T21:54:54-04:00] [stage] start stage=teacher_feature_augmentation dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 base_binned_features=14
[2026-03-16T21:54:54-04:00] [stage] done stage=teacher_feature_augmentation elapsed_sec=0.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 base_binned_features=14
[2026-03-16T21:54:54-04:00] [stage] summary stage=teacher_feature_augmentation pair_templates=0 pair_shapes=0 teacher_microtrees=0 teacher_triplets=0 teacher_score_band=no Z_fit_shape=(31717, 14) Z_eval_shape=(9063, 14)
[2026-03-16T21:54:54-04:00] [stage] note stage=msplit_fit native_solver_has_no_live_node_callback=true current_node_depth_visibility=unavailable
[2026-03-16T21:54:54-04:00] [stage] start stage=msplit_fit dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 solver=msplit msplit_variant=rush_dp z_cols=14 backend=cpp
[2026-03-16T21:55:24-04:00] [stage] heartbeat stage=msplit_fit elapsed_sec=30.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 solver=msplit msplit_variant=rush_dp z_cols=14 backend=cpp
[2026-03-16T21:55:54-04:00] [stage] heartbeat stage=msplit_fit elapsed_sec=60.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 solver=msplit msplit_variant=rush_dp z_cols=14 backend=cpp
[2026-03-16T21:56:24-04:00] [stage] heartbeat stage=msplit_fit elapsed_sec=90.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 solver=msplit msplit_variant=rush_dp z_cols=14 backend=cpp
[2026-03-16T21:56:54-04:00] [stage] heartbeat stage=msplit_fit elapsed_sec=120.0 dataset=electricity depth=4 seed=0 eval=test lookahead=3 n_fit=31717 n_eval=9063 raw_features=14 solver=msplit msplit_variant=rush_dp z_cols=14 backend=cpp
